,titles,descriptions,score
0,CRUZ AT EL PASO MAGA RALLY: Sen. Ted Cruz (R-TX) Speaks Ahead of President Trump (FNN),"President Donald Trump is trying to turn the debate over a wall at the U.S.-Mexico border back to his political advantage as his signature pledge to American voters threatens to become a model of unfulfilled promises.

Trump will hold his first campaign rally since November's midterm elections in El Paso, Texas, on Monday as he faces a defining week for his push on the wall -- and for his presidency and his 2020 prospects. Weakened by the disastrous government shutdown and facing a fresh deadline Friday, Trump is trying to convince people that that he'll continue to push to build his long-promised wall, even though there's no way it would be anywhere near complete by the time voters have to decide whether to give him another term.

A bipartisan group of lawmakers were negotiating ahead of Friday's deadline, but on Sunday people familiar with the talks said the mood among the bargainers had grown sour. They spoke on condition of anonymity to discuss private talks. #MAGA #Trump #TrumpElPaso",-0.16455
1,Senator Ted Cruz gives victory speech in Texas,"Republican Senator Ted Cruz gives his victory speech after he defeated Beto O'Rourke in the race for Texas Senate. 

FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most watched television news channel for more than 16 years and according to a Suffolk University/USA Today poll, is the most trusted television news source in the country. Owned by 21st Century Fox, FNC is available in more than 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.
 
Subscribe to Fox News! https://bit.ly/2vBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/
 
Watch full episodes of your favorite shows
The Five: http://video.foxnews.com/playlist/longform-the-five/
Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/
The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/
Tucker Carlson Tonight http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/
Hannity http://video.foxnews.com/playlist/longform-hannity/
The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/
Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/
 
Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on Twitter: https://twitter.com/FoxNews/
Follow Fox News on Instagram: https://www.instagram.com/foxnews/ 
Subscribe to Fox News!  https://www.youtube.com//FoxNewsChannel
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/",0.4591
2,Ted Cruz And Beto O'Rourke Face Off In First Debate | NBC News,"Watch live coverage of Ted Cruz and Beto O'Rourke meeting for the first time to debate in the Texas Senate race.

» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Google+: http://nbcnews.to/PlusNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC
Follow NBC News on Pinterest: http://nbcnews.to/PinNBC

Ted Cruz And Beto O'Rourke Face Off In First Debate | NBC News",0.3544
3,Ted Cruz and Beto O’Rourke square off in final debate before midterm election,"U.S. Sen. Ted Cruz and Democrat Beto O’Rourke squared off in a debate for the second and final time before early voting begins in Texas on October 22, 2018.

For more info, please go to https://globalnews.ca/news/4582559/donald-trump-ted-cruz-election/
Subscribe to Global News Channel HERE: http://bit.ly/20fcXDc
Like Global News on Facebook HERE: http://bit.ly/255GMJQ
Follow Global News on Twitter HERE: http://bit.ly/1Toz8mt",0.3111
4,Ted Cruz Thinks He's Going To Beat Beto O'Rourke (HBO),"Columbus, Texas — Senator Ted Cruz is not assuming anything in his campaign for re-election. He’s a popular politician in a state that hasn’t sent a Democrat to the senate in 25 years. But polls show him in a surprisingly tight race with the young, telegenic upstart Beto O’Rourke, who’s captivated liberal crowds in Texas, and celebrity endorsements across the nation.

That’s why Cruz was here on Saturday, at an intimate gathering in a deep red town halfway between Houston and San Antonio: to rally the faithful back to his cause.

“The danger is that the economy is booming, people are focused on their jobs and their kids, going to church, going to the ballgame, and they just don't make it out to vote,” Cruz told the crowd. “Our danger is complacency.”

Cruz leads O’Rourke by 4 percentage points, according to the Real Clear Politics average. But he faces more than just the familiar incumbents’ paradox that when things are good, parties in power have a hard time mobilizing voters.

The bigger worry is voter overconfidence. According to internal Republican National Committee data reported by Axios, the Republican faithful are unusually immune to reports showing that Democratic candidates are on the rise. One recent RNC survey found that 57% of strong Trump supporters don’t believe that Democrats will retake the House.

“To me, the polls that we're seeing right now are eerily similar to the Trump-Clinton polls that we saw going up to the election,” said Tom Kelley, the GOP chair for Colorado County, at Cruz’s stop in Columbus. “It's all hype and hyperbole.”

That’s why Cruz can’t simply ignore the huge crowds being drawn out by his opponent.

“We're going to win this race,” Cruz told VICE News. “I feel very good about where we are. But the reason we're going to win it is we're not taking anything for granted. It is clear there are a lot of folks on the far left who are really angry and that anger — it's a motivator. It is bringing dollars, it's bringing passion, it's bringing energy. And we have to take it seriously.”

Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News

Check out VICE News for more: http://vicenews.com

Follow VICE News here:
Facebook: https://www.facebook.com/vicenews
Twitter: https://twitter.com/vicenews
Tumblr: http://vicenews.tumblr.com/
Instagram: http://instagram.com/vicenews
More videos from the VICE network: https://www.fb.com/vicevideo",0.4953
5,VYING FOR RE-ELECTION: Sen. Ted Cruz (R-TX) at #MAGArally in Houston (FNN),"At least 77,000 people have signed up for President Trump’s Houston rally on Monday to support incumbent Republican Sen. Ted Cruz, who is locked in the Texas Senate battle with Democratic Congressman Beto O’Rourke. 

The Houston Chronicle reported that Houston police will be “fully mobilized” for the rally. Attendees must have tickets to enter and will be admitted in the order that they line up, the report said.

""Keep in mind that once the capacity is met, you won't get in whether you have a ticket or not,"" an officer said.

More than 77,800 people had signed up for the rally by Friday morning, according to The Chronicle. A person familiar with the event told the paper that the Trump campaign was not considering a move to a larger venue.

Houston police heard unconfirmed reports that a separate nearby rally for O’Rourke could also draw thousands, according to the report.

""We will have many many officers out and about,"" Chied Art Acevedo said. ""We will have officers on the high ground, low ground, in the air. We will have officers in plainclothes, we will have undercover officers, we will have react teams.""

#MAGA #Trump #TedCruz",-0.1366
6,"Ted Cruz wins, clinches Senate for Republicans","CNN projects that Texas voters will re-elect Republican Sen. Ted Cruz to the US Senate, defeating Democrat Beto O'Rourke and helping Republicans maintain control of the Senate. #CNN #News",0.23459999999999998
7,"Senator Ted Cruz, Beto O'Rourke Trade Barbs In Senate Debate | NBC News","Sen. Ted Cruz and challenger Rep. Beto O'Rourke took part in a debate in San Antonio, Texas, where they challenged each other's records.
» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations.

Connect with NBC News Online!
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Google+: http://nbcnews.to/PlusNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC
Follow NBC News on Pinterest: http://nbcnews.to/PinNBC

Senator Ted Cruz, Beto O'Rourke Trade Barbs In Senate Debate | NBC News",0.35885
8,Colorado senator castigates Ted Cruz's 'crocodile tears',"Senator Michael Bennet, a Colorado Democrat, took to the Senate floor on Thursday with a reminder that he does not often 'rise to contradict somebody on the other side' before castigating Republican Ted Cruz over his 'crocodile tears' for emergency responders affected by the US government shutdown
Subscribe to Guardian News on YouTube ► http://bit.ly/guardianwiressub

Opposing bills to end US shutdown fail in Senate, with no clear path forward ► https://www.theguardian.com/us-news/2019/jan/24/us-government-shutdown-opposing-bills-fail-senate

Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus

Support the Guardian ► https://theguardian.com/supportus

The Guardian YouTube network:

The Guardian ► http://www.youtube.com/theguardian
Owen Jones talks ► http://bit.ly/subsowenjones
Guardian Football ► http://is.gd/guardianfootball
Guardian Sport ► http://bit.ly/GDNsport
Guardian Culture ► http://is.gd/guardianculture",-0.5023
9,Exclusive: Ted Cruz on fight to hold off Beto O'Rourke,"Incumbent Republican Sen. Ted Cruz is in a high-stakes showdown in Texas against Democratic challenger Beto O'Rourke, where more than $100 million have been spent in the Senate race.

FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most watched television news channel for more than 16 years and according to a Suffolk University/USA Today poll, is the most trusted television news source in the country. Owned by 21st Century Fox, FNC is available in more than 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.
 
Subscribe to Fox News!  https://bit.ly/2vBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/
 
Watch full episodes of your favorite shows
The Five: http://video.foxnews.com/playlist/longform-the-five/
Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/
The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/
Tucker Carlson Tonight http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/
Hannity http://video.foxnews.com/playlist/longform-hannity/
The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/
Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/
 
Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on Twitter: https://twitter.com/FoxNews/
Follow Fox News on Instagram: https://www.instagram.com/foxnews/",0.3363
